,Annual Data | Millions of US $ except per share data,,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
0,Net Income/Loss,,"$22,112","$15,934","$10,217","$3,688","$2,940","$1,500",$53
1,Total Depreciation And Amortization - Cash Flow,,"$4,315","$3,025","$2,342","$1,945","$1,243","$1,011",$649
2,Other Non-Cash Items,,"$4,374","$3,370","$2,791","$3,903","$3,405","$1,035","$1,409"
3,Total Non-Cash Items,,"$8,689","$6,395","$5,133","$5,848","$4,648","$2,046","$2,058"
4,Change In Accounts Receivable,,"$-1,892","$-1,609","$-1,489",$-973,$-610,$-378,$-170
5,Change In Inventories,,-,-,-,-,-,-,-
6,Change In Accounts Payable,,$221,$43,$14,$18,$31,$26,$1
7,Change In Assets/Liabilities,,"$-1,273","$3,144","$1,219","$1,226",$-11,"$1,066",$-482
8,Total Change In Assets/Liabilities,,"$-1,527","$1,887",$758,$784,$-262,$676,$-499
9,Cash Flow From Operating Activities,,"$29,274","$24,216","$16,108","$10,320","$7,326","$4,222","$1,612"
10,"Net Change In Property, Plant, And Equipment",,"$-13,915","$-6,733","$-4,491","$-2,523","$-1,831","$-1,362","$-1,235"
11,Net Change In Intangible Assets,,-,-,-,-,-,-,-
12,Net Acquisitions/Divestitures,,$-137,$-122,$-123,$-313,"$-4,975",$-368,$-911
13,Net Change In Short-term Investments,,"$2,474","$-13,250","$-7,186","$-6,700","$1,243",$-882,"$-4,874"
14,Net Change In Long-Term Investments,,-,-,-,-,-,-,-
15,Net Change In Investments - Total,,"$2,474","$-13,250","$-7,186","$-6,700","$1,243",$-882,"$-4,874"
16,Investing Activities - Other,,$-25,$-13,$8,$102,$-350,$-12,$-4
17,Cash Flow From Investing Activities,,"$-11,603","$-20,118","$-11,792","$-9,434","$-5,913","$-2,624","$-7,024"
18,Net Long-Term Debt,,-,-,$-312,$-119,$-243,"$-1,891","$1,130"
19,Net Current Debt,,-,-,-,-,-,-,-
20,Debt Issuance/Retirement Net - Total,,-,-,$-312,$-119,$-243,"$-1,891","$1,130"
21,Net Common Equity Issued/Repurchased,,"$-12,879","$-1,976",-,-,-,"$1,504","$6,777"
22,Net Total Equity Issued/Repurchased,,"$-12,879","$-1,976",-,-,-,"$1,504","$6,777"
23,Total Common And Preferred Stock Dividends Paid,,-,-,-,-,-,-,-
24,Financial Activities - Other,,"$-2,693","$-3,259",$2,$-20,$-55,$-280,"$-1,624"
25,Cash Flow From Financial Activities,,"$-15,572","$-5,235",$-310,$-139,$-298,$-667,"$6,283"
26,Net Cash Flow,,"$1,920",$-905,"$3,943",$592,$992,$939,$872
27,Stock-Based Compensation,,"$4,152","$3,723","$3,218","$2,960","$1,786",$906,"$1,572"
28,Common Stock Dividends Paid,,-,-,-,-,-,-,-
